vocab_id,en_vocab,zh_vocab
70,appreciation,"appreciation 賞識,鑒識,感激"
71,approximate,"approximate (a.)大約的,近似的(vt.)接近,約等於(vi.)近於"
72,arrangement,"arrangement 安排,准備;整理,排列,佈置"
73,assist,"assist (vt.)援助,幫助(vi.)援助,幫忙U援助,幫助"
74,attendance,"attendance 出席,照料,出席的人數"
75,authorize,"authorize (vt.)授權與,批准,委託代替"
76,access,"access 訪問通路,進入,使用權,發作"
77,accomplishment,"accomplishment 成就,完成"
78,acquire,"acquire (vt.)獲得,取得;學到"
79,adequate,"adequate (a.)足夠的,充分的;適當的,適合的"
80,admittance,"admittance 承認;接納,允許進入,招收"
81,advertisement,"advertisement 廣告,告示,宣傳,宣揚"
82,agency,"agency 媒介,代理,機構,旅行社,通訊社;作用,動力,力量"
83,aid,"aid 幫助,有助之物,助手(vt.)援助,幫助"
84,alternative,"alternative (a.)兩者挑一的,可供選擇的C可供選擇的事物"
85,analyze / analyse,"analyze (vt.)分析,分解"
86,apologize,"apologize (v.)賠禮,道歉,認錯"
87,apply,"Apply (v.)申請,要求;運用,適用;勤奮,專心致志"
88,appreciative,"appreciative (a.)有眼力的,有欣賞的;欣賞的"
89,arbitrate,"arbitrate (vt.)仲裁,公斷(vi.)仲裁"
90,assemble,assemble (vt.)集合;裝配(vi.)集合
91,assistance,"assistance 援助,幫助"
92,attentively,"attentively (ad.)注意地,留意地"
93,availability,"availability U可用性,有效性;可得性"
94,accessible,"accessible (a.)易於得到的,易於進入的,可處理的,可存取的"
95,according,"according (ad.)根據,按照,依,隨…"
96,act,"act 行為,幕,法案,動作(vi.)行動,表演,盡職責,假裝(vt.)扮演,裝作,下判決"
97,adjust,"adjust (vt.)調整,使適應於,校準(vi.)調整,適應於,校準"
98,advance,"advance 前進,進步,進步的例子(vi.)前進,增加,上漲(vt.)促進,提出,提高,預付"
99,advice,"advice (v.)勸告,忠告,指教,建議,意見"
100,agenda,"agenda (pl.)議程,應辦事項"
101,aim,"aim 目標,瞄準(vi.)對准目標,打算(vt.)瞄準"
102,ambitious,"ambitious (a.)有野心的,抱負不凡的,雄心勃勃的"
103,announcement,"announcement 宣佈,宣告;通告,布告;預告"
104,appeal,"appeal (vi.)呼籲,要求;訴,求助;上訴;有吸引力C呼籲,要求;U吸引力"
105,appoint,"appoint (vt.)任命,指派,委派,分派,分配;給…提供設備"
106,apprentice,"apprentice 學徒,徒弟,見習生(v.)當學徒,使做學徒"
107,area,"Area 區域;C範圍,U面積;C地區"
108,assess,"assess (vt.)評價,評估,評判,評定;徵收,課"
109,assume,"assume (vt.)假定,設想,認為;採取;呈現;承擔"
110,attract,attract (vt.)吸引;引起(vi.)有吸引力
111,available,available (a.)可用的;通用的
112,background,"background 背景背景,後臺"
113,barcode,bar-code (adj.)條碼
114,benefit,"benefit U好處,益處(vt.)有益於,對…有益(vi.)受益於"
115,block,"block 大塊,大塊木料;一排房屋;阻塞,障礙物(vt.)阻塞,攔阻"
116,boost,"boost 推進,支援,吹捧(vt.)推進,提高,捧場,促進"
117,brand,"brand 商標,烙印,汙名(v.)打上烙印,銘記;玷污"
118,brush,"brush 刷子,毛筆,爭吵(vt.)刷(vi.)擦過,掠過"
119,backpack,backpack (v.)挑運[貨物]
120,bargain,"bargain 買賣合同,成交條件,交易;廉價貨,便宜貨(vi.)議價,成交"
121,beverage,beverage 飲料
122,board,"board 委員會,理事會,董事會,委員會;司,局,廳;木板,黑板(v.)提供膳宿,搭夥;登上"
123,bored,"bored (a.)無趣的,煩人的,無聊的"
124,briefcase,briefcase 公事包
125,budget,"budget 預算(vi.)編預算(vt.)編入預算,安排(a.)廉價的"
126,baggage claim,"baggage 行李,包袱"
127,basic,"basic 基本,要素,基礎(a.)基本的,鹼性的計算機基本高級語言"
128,bid,"bid (v.)出價,招標;努力,嘗試;命令,吩咐,邀請"
129,boarding pass,"boarding 圍板,地板,木板"
130,borrow,"borrow (vt.)借,借入,借用(vi.)借"
131,briefing,briefing 下達簡令
132,bulletin,"bulletin 公告,公報,新聞簡報"
133,balance,"balance 平衡,差額(vi.)平衡,相等(vt.)稱,權衡,比較,使平衡,結算,抵消"
134,behave,"behave (vi.)舉止,行為,表現(vt.)使表現好"
135,bill,"bill 帳單,鈔票,提案招貼,廣告;法案,議案,訴狀(vt.)開列,填,宣佈"
136,boardroom,"boardroom 會議室,交換場所"
137,bother,"bother (vt.)煩擾,迷惑(vi.)煩惱,操心麻煩,糾紛,討厭的人"
138,broadcast,"broadcast 廣播,廣播節目(a.)廣播的(vt.)(vi.)廣播(ad.)經廣播,四散地 ; (網絡上所有結點都能接收到的一種數據包)"
139,bank,"bank 岸,河邊;銀行(vt.)把存入銀行(vi.)把錢存入銀行"
140,belongings,"belongings 財產,所有物,行李"
141,binder,"binder 縛者,用以綁縛之物,夾器"
142,boast,"boast (v.)吹噓,自誇,自稱擁有,以擁有…而自豪"
143,bottom line,"bottom 底部(a.)底部的(vt.)裝底,查明真相,測量深淺(vi.)到達底部,建立基礎"
144,broaden,"broaden (vi.)變寬,擴大(vt.)放寬,使擴大"
145,bankrupt,"bankrupt (a.)破產的,倒閉的;缺乏的,喪失的"
146,beneficial,"beneficial (a.)有益的,有幫助的"
147,blanket,"blanket 毛毯,毯子(vt.)掩蓋,覆蓋(a.)總共的"
148,book,"Book 工作簿書,書籍,帳簿,名冊(vt.)(vi.)登記,預訂"
149,branch,"branch (vi.)分支,出枝(vt.)分割,用枝葉裝飾分支樹枝,支店,支流,分部,部門"
150,browser,"browser 瀏覽器吃嫩葉的動物,瀏覽書本的人"
151,cabin crew,"cabin 小屋,客艙(vt.)關在小屋"
152,cancel,"cancel 取消,撤消,蓋銷(郵票)(vt.)取消,刪去,抵銷,蓋銷(vi.)相互抵銷"
153,career,"career 經歷,生涯;專業,職業"
154,celebrate,"celebrate (vt.)(vi.)慶祝,祝賀,舉行"
155,chain store,"chain 鏈,連鎖,束縛(vt.)用鐵練鎖住,束縛,囚禁"
156,charge,"charge 指控,費用,沖鋒,電荷,炸藥,主管,被託管人,囑咐(vt.)控訴,加罪於,使充滿"
157,circumstances,circumstances 情況
158,client,"client 客戶,顧客,委託人客戶"
159,commence,"commence (vt.)(vi.)開始,倡導"
160,commute,"commute (vt.)交換,改換支付方法,減輕(vi.)補償,經常來往"
161,compensate,"compensate (vt.)(vi.)償還,補償,付報酬"
162,complain,"complain (v.)抱怨,埋怨,控拆,不滿"
163,complimentary,"complimentary (a.)恭維的,贊美的,問候的"
164,concern,"concern (vt.)涉及,關系到;使關心,掛念C關系;U關心,掛念"
165,confirm,"Confirm (vt.)確認,批准;証實,使更堅固,使更堅定"
166,consider,"consider (vt.)認為;考慮;體諒,照顧(vi.)考慮,思考"
167,constant,"constant 常數,恆量(a.)不變的,一定的,時常的"
168,consumer,"consumer 消費者,用戶"
169,contribute,"contribute (vt.)有助於,捐助,投稿(vi.)出力,捐獻,投稿"
170,convince,"convince (vt.)使確信,使信服"
171,courier,"courier 送快信的,急差,旅行從仆居裏"
172,credit,"credit (v.)信任,信譽,信用,信貸,賒欠榮譽,光榮,稱贊,給予榮譽"
173,crucial,"crucial (a.)決定性的,重要的,嚴厲的"
174,cafeteria,cafeteria 自助餐廳
175,cancellation,"cancellation 取消,作廢,注銷戳"
176,careless,"careless (a.)疏忽的,粗心的,不注意的,馬馬虎虎的"
177,celebration,"celebration 慶祝,慶祝會;典禮"
178,chair,"chair 椅子,席位,講座(vt.)使入座,使就任要職"
179,charity,"charity 慈悲,博愛,慈善團體,施捨"
180,claim,"claim 要求,認領;主張,斷言(vt.)要求,認領,索賠;聲稱,主張"
181,climate,"climate 氣候,民意狀況,社會趨勢,風土"
182,commission,"commission 委任狀,任官令,命令,傭金,犯法,委託,代辦(vt.)委任,委託製作,使服役"
183,commuter,"commuter 使用月季票上下班者,通勤者"
184,compensation,"compensation 補償,賠償金,薪資"
185,complaint,"complaint U抱怨,訴苦;C抱怨,怨言;C申訴,控告;C疾病"
186,comply,"comply (v.)同意,服從,遵守,履行"
187,conclude,"conclude (vi.)結束,終結(vt.)推斷,斷定;締結,議定;結束,終結;決定"
188,confirmation,"confirmation 確認証實,鞏固,批准"
189,considerable,"considerable (a.)相當的,可觀的,重要的"
190,constantly,"constantly (ad.)不變地,不斷地,時常地"
191,contain,"contain (v.)包含,包括,容納;遏制,抑制,克制"
192,contribution,"contribution 貢獻,捐獻;撰稿;促進,助長"
193,convincing,"convincing (a.)使人信服的,有力的,令人心悅誠服的"
194,cover letter,"cover 蓋子,封面,藉口(vt.)覆蓋,掩飾,保護,掩護,包括(vi.)覆蓋"
195,criteria,Criteria 標準
196,cruise,"cruise 巡航,巡弋,漫遊(vi.)(vt.)巡航,巡弋,漫遊"
197,calculate,"Calculate (vt.)計算;計劃,打算(vi.)計算"
198,candidacy,"candidacy 候選人的地位,候選資格"
199,cash,"cash U現金,現款(vt.)兌換現款,付現款"
200,cell phone,"cell 區, 細胞,血球;小室,牢房;電池,光電管;基層組織"
201,chairman,"chairman 主席,會長"
202,cheap,"cheap (a.)便宜的,不值錢的,可鄙的(ad.)便宜地"
203,claimant,claimant 提出要求者
204,closure,closure 關閉(vt.)使終止
205,commit,"commit (vt.)把…交托給,提交;犯,幹;使承擔義務,使作出保証"
206,company,"company C公司;U陪伴;U同伴;U賓客,客人;C群,隊,夥;C連,連隊"
207,competent,"competent (a.)能幹的,勝任的,有權能的,足夠的"
208,complete,"complete (a.)完全的,熟練的,完成的(vt.)完成,完工,使圓滿"
209,comprehensive,"comprehensive (a.)廣泛的,有理解力的,包容力大的"
210,conclusion,"conclusion 總結,結束,決定,結論"
211,confusion,"confusion 混亂,混淆,無秩序"
212,consignment,consignment 委託
213,construction,"construction U建造,建築,建設;C建築物,建造物"
214,container,container 容器;集裝箱
215,control,"control 控制,管理,克制,控制器,調節裝置(vt.)控制,操縱,抑制"
216,corporate,corporate 組織
217,coverage,"coverage 覆蓋的範圍,保險總額,新聞報導"
218,critical,"critical (a.)批評的,評論的;危急的,緊要的;臨界的"
219,currency,"Currency 貨幣,貨幣型通貨,流通,通用"
220,calculation,"calculation 計算,考慮,計算的結果"
221,candidate,"candidate 候選人,候補者"
222,cashier,cashier 出納員
223,certificate,"certificate 証書,証明書(vt.)發給証明書,認可,鑒定"
224,chairperson,chairperson 主席
225,check in,"check 檢查,支票,阻止物,行李票,象棋中將軍(vt.)檢查,阻止,核對,寄存"
226,classification,"classification 分類,分級;分類法"
227,coach,"coach 客車;長途公共汽車,大客車;輔導員,教練(vt.)輔導,指導,教練"
228,committee,"committee 委員會,全體委員"
229,comparable,"comparable (a.)可以相比的,比得上的,可匹敵的"
230,competition,competition C比賽;U競爭
231,complex,"complex 合成物,情結,復雜(a.)復雜的,合成的"
232,compromise,"compromise 妥協,折衷,折衷案,和解(vi.)妥協處理(vt.)危害"
233,concourse,"concourse 集合,合流,群眾"
234,connect,"connect (vi.)連接,連結(vt.)聯系,連續"
235,consist,"consist (vi.)由…組成,由…構成;存在於,在於"
236,consult,"consult (vi.)商討,商量,協商,會診(vt.)向…請教,查閱,考慮"
237,continual,"continual (a.)持續不斷的,繼續的"
238,control panel,"control 控制,管理,克制,控制器,調節裝置(vt.)控制,操縱,抑制"
239,corporation,"corporation 公司,企業社團,團體"
240,coworker,"co-worker 共同工作者,合作者,幫手"
241,criticize,"criticize (vt.)(vi.)批評,吹毛求疵,非難"
242,current,"Current (a.)當前的湧流,趨勢,流流通的,現在的,最近的"
243,calculator,"Calculator 計算器計算者,計算機"
244,capacity,"capacity 容量,能力,才能,資格容量"
245,cause,"cause 原因,目標(vt.)引起,使產生,成為…的原因"
246,certification,certification 出証明
247,characteristic,"characteristic 特性,特徵,特色(a.)特性的,本性的,有特色的"
248,check out,"check 檢查,支票,阻止物,行李票,象棋中將軍(vt.)檢查,阻止,核對,寄存"
249,classify,"classify (vt.)分類,把…歸類"
250,code,"code 代碼碼,密碼,法規,法典(vt.)把…編碼,製成法典"
251,common,"common (a.)公共的,共同的,普通的,一般的平民;公地;眾議院,下院"
252,compare,"compare (vt.)比較,比喻,匹敵(vi.)相比比較"
253,competitive,competitive (a.)競爭的
254,complexity,"complexity 復雜,復雜性,復雜的事物"
255,compulsory,"compulsory (a.)強迫的,強制性的,義務的"
256,condition,"condition 條件,狀況,情況,地位(v.)調節,制約,以…為條件"
257,connection,"connection 聯接,連結,聯系;親戚關系"
258,consistent,"consistent (a.)一致的,始終如一的;堅固的,堅實的"
259,consultant,"consultant 顧問,商議者"
260,continuation,"continuation 繼續,續集,延長"
261,convenient,"convenient (a.)便利的,方便的"
262,cost,"cost 代價,價值,費用(vi.)花費(vt.)使失去,值,需要,使花費"
263,crash,"crash 碰撞,墜落,墜毀;撞擊聲,爆裂聲;失敗,瓦解(vt.)碰撞,墜落,墜毀(vi.)碰撞"
264,crowd,"crowd 群眾,一夥(vt.)擁擠,擠滿,擠進"
265,custom,"custom (v.)定制自定義習慣,風俗,海關"
266,campaign,"campaign 戰役,運動,活動,競選運動(vi.)參加活動,作戰"
267,capital,"capital 資本,資金,資方;首都,首府,中心;大寫字母(a.)主要的,資本的,大寫的"
268,cautious,"cautious (a.)謹慎的,小心的"
269,chain,"chain 鏈,連鎖,束縛(vt.)用鐵練鎖住,束縛,囚禁"
270,characterize,"characterize (vt.)表示…的特性,使具有…特點"
271,chef,chef 廚師
272,clerk,"clerk 職員,辦事員,書記員,秘書;管理員;店員(vi.)當店員"
273,collect,"collect (vt.)(vi.)收集,聚集,集中,搜集(a.)由收到者付款的(ad.)由收到者付款地"
274,commonly,"commonly (ad.)一般,普通,通常"
275,compatible,"compatible (a.)能共處的,可並立的,適合的"
276,competitor,competitor 競爭者
277,compliment,"compliment 稱贊,恭維,致意(vt.)稱贊,褒揚,恭維"
278,concede,"concede (vt.)承認,退讓(vi.)讓步"
279,conduct,"conduct U行為,品行,舉動(vt.)引導,帶領;處理,管理;指揮;傳導(vi.)指揮"
280,consequence,"consequence 結果,後果;推理,推斷;重要性"
281,consistently,consistently (ad.)一致地;堅實地
282,consume,"consume (vt.)消耗,消費,消滅(vi.)消滅,毀滅"
283,continue,"continue (vi.)繼續,延續,延長(vt.)使繼續,使延長"
284,conveniently,conveniently (ad.)便利地;合宜地
285,counter,"counter 櫃檯;計數器(a.)相反的(ad.)與…相反地(vt.)反對,反擊(vi.)反對,反擊"
286,credentials,"credentials 憑証,証書"
287,crowded,"crowded (a.)擁擠的,塞滿的"
288,customer,"customer 顧客,主顧;傢夥"
289,daily,"daily (a.)每日的,日常的(ad.)每日地,日常地日報"
290,decision,"decision C決定,決心;C決議,決策;U決定或照決定行動的能力"
291,defective,"defective (a.)有缺陷的,欠缺的有缺陷的人,不完全變化動詞"
292,delight,"delight 高興,愉快(vt.)使高興,樂於(vi.)喜愛"
293,demonstrate,"demonstrate (v.)示威;論証,示範,顯示,展示,演示,表示"
294,deposit,"deposit (vt.)儲蓄,付;使沈澱,使淤積存款,保証金;沈積物,礦床"
295,detail,"Detail 細節,詳情(vt.)詳述,選派(vi.)畫詳圖詳細數據"
296,develop,"develop (vt.)發展,開發,研製;使成長;發揚,發揮;顯現出(vi.)生長,發育;發展,進展"
297,director,"director 指揮者,指導者;主任,理事,董事,導演"
298,discrepancy,"discrepancy 相差,差異,差別"
299,dismissive,dismissive (a.)表示輕視的
300,distinctive,"distinctive (a.)區別性的,鑒別性的,有特色的"
301,donate,donate (vt.)(vi.)捐贈
302,downward,downward (a.)向下的
303,drive,"drive 驅動器,駕車,快車道,推進力,驅動,動力,擊球(vt.)開車,驅使,推動,駕駛(vi.)開車"
304,damage,"damage (vt.)損害,毀壞(vi.)受損壞,破損U損害,毀壞;賠償費"
305,decorate,"decorate (vt.)裝飾,裝璜;授勛給…(vi.)裝飾,佈置"
306,definite,"definite (a.)明確的,肯定的"
307,delighted,delighted (adj.)欣慰
308,depart,"depart (vi.)離開,出發,放棄,違反,去世"
309,description,"description 描繪,描寫,描述,刻劃;種類"
310,detailed,"detailed (a.)詳細的,明細的"
311,developer,"developer 開發者;顯影劑,顯色劑"
312,disagree,"disagree (vi.)意見不同,不同意;不一致,不符;不適宜,有害"
313,discrimination,"discrimination 差別,岐視,辨別力"
314,display,"display 顯示,陳列,炫耀(vt.)顯示,表現,誇示顯示器(v.)顯示"
315,distinguish,"distinguish (vt.)區別,辯明,識別;辨認出(vi.)區別,辨別,識別"
316,donation,"donation 捐贈,捐獻,捐助;捐贈物"
317,dramatic,"dramatic (a.)戲劇的,劇本的;戲劇性的,引人注目的,激動人心的"
318,drop,"drop (vt.)滴下,落下;使變弱,使下降(vi.)滴下,落下;下降,變弱落下,下降;滴,滴劑"
319,deadline,"deadline 死線,原稿截止時間,截止期限"
320,decrease,"decrease (vi.)減少,減小(vt.)減少,減小減少,減小"
321,definitely,"definitely (ad.)一定地,肯定地;明確地,確切地"
322,deliver,"deliver (vt.)投遞,傳送;發表,表達;移交,交付;釋放,解救;接生"
323,department,"department 部,部門;學部,系;司,局,處,科"
324,designate,"designate (vt.)指定,指明,稱呼(a.)選出而未上任的"
325,detect,"detect (vt.)察覺,發覺;偵查,探測;對…檢波"
326,development,"development 生長,成長,進化;發展,開發,研製"
327,disagreement,"disagreement 意見不同,不調和;爭執,不和"
328,discuss,"discuss (vt.)討論,商議"
329,disposable,disposable (a.)可任意使用的
330,distribute,"distribute (vt.)分配,分發,分佈,散佈,分類"
331,double,"double 雙精度型兩倍(a.)兩倍的,雙重的(vt.)使加倍(vi.)加倍,快步走,加倍努力"
332,drastic,drastic (a.)激烈的
333,dull,"dull (a.)鈍的,無趣的,呆滯的,陰暗的(vt.)使遲鈍,使陰暗,緩和(vi.)變遲鈍,減少"
334,deal,"deal (vt.)給予,分給(vi.)做買賣,經營;對付,處理;論述,涉及交易,買賣;待遇"
335,dedicate,"dedicate (vt.)奉獻,獻身於,致力於,題獻給"
336,degree,"Degree 度,度數,程度;學位;階層"
337,delivery,"delivery 遞送,投遞,交付;發表;提供,釋放;助產,分娩"
338,departure,"departure 離開,出發,違背,偏離,發射"
339,desperate,"desperate (a.)不顧死活的,危急的,令人絕望的,極渴望的"
340,deterioration,"deterioration 惡化,降低,退化"
341,device,"device 設備DOS命令:安裝設備驅動程式裝置,設計,策略,發明物"
342,disappointing,"disappointing (a.)使失望的,期待落空的,無聊的"
343,discussion,"discussion 討論,商議"
344,dispose,"dispose (vt.)佈置,安排;使傾向于,使有意於;處理,處置(vi.)處理,處置"
345,distribution,"distribution 分發;銷售;頻率分佈;分配裝置;分佈;區分,分類;配電"
346,download,"download 下行裝載,向下裝載 ; (也有人縮寫為 D/L ,指的是由本地機從網絡上接收文件或數據)"
347,drastically,"drastically (ad.)激烈地,徹底地"
348,duration,"duration U持續,持久;持續時間,期間"
349,debit,"debit 借方,借(vt.)記入借方"
350,deduct,"deduct (vt.)扣除,演繹"
351,delay,"delay (vt.)延遲(vi.)耽擱,延誤耽擱,延遲,耽擱"
352,demand,"demand (vt.)要求,請求;要求知道,查問;需要C要求,請求;U需要,需求"
353,depend on,"depend (vi.)依靠,依賴;依…而定,取決於;相信,信賴"
354,dessert,dessert 餐後甜點
355,determine,"determine (vt.)決定,決心;確定,限定,測定;使決定(vi.)決定,決心"
356,diagnose,diagnose (vt.)(vi.)診斷
357,disconnect,"disconnect (v.)斷開(vt.)分離,不相連,拆開"
358,dish,"dish 盤,碟;盤裝菜(vt.)裝到盤子裏,使成盤形"
359,dispute,"dispute 爭論,爭執(vt.)爭論,爭執(vi.)爭論,爭執"
360,dividend,"dividend 被除數,股利"
361,downsize,"downsize v 1: dismiss from work; ""three secretaries were downsized during the financial crisis"" 2: make in a smaller size; ""the car makers downsized the SUVs when fuel became very expensive"" 3: reduce in size or number; ""the company downsized its research staff"""
362,draw,"draw (vi.)拉,拖,拔劍(vt.)拖拉,挨近,領取,打成平局,引來,抽簽決定,畫,描寫,制訂"
363,duty-free,duty-free (a.)(ad.)免稅的
364,debt,"debt 債,債務,欠款"
365,defect,"defect 缺點,欠缺(vi.)逃跑,背叛,開小差"
366,delete,delete (vt.)刪除(v.)刪除
367,demanding,"demanding (a.)要求多的,吃力的"
368,dependence,"dependence 依靠,依賴;信任,信賴"
369,destination,"Destination 目的地目的文件,目的單元"
370,determined,"determined (a.)決定的,已決定了的"
371,differential,"differential (a.)差別的,特定的,微分的兩路線運費差額,工資差額"
372,discount,"discount (v.)折扣,打折扣,貼現,不重視,低估"
373,dismiss,"Dismiss (vt.)解散;消除,不考慮,免…的職,解雇,開除;遣散"
374,disruption,"disruption 分裂,崩潰,瓦解"
375,document,"document 文檔,公文,文件,文獻;証件,証券;紀錄影片,記實小說(vt.)用文件証明"
376,downturn,"down-turn 下降,沈滯"
377,drawer,"drawer 抽屜,櫥櫃;襯褲;繪圖員,開票員"
378,earn,"EARN (vt.)賺,掙得;獲得(vi.)掙錢"
379,effectively,"effectively (ad.)有效地,有力地,實際上"
380,electrical,"electrical (a.)電的,有關電的"
381,employ,"employ (vt.)雇用;用,使用使用,雇用,職業"
382,encourage,"encourage (vt.)鼓勵,支援,激勵"
383,enroll,"enroll (vt.)登記,使加入(vi.)參軍,注冊"
384,entrée,entr矇e 的英文翻譯 | English-Chinese Dictionary
385,evaluate,"evaluate (vt.)評估,評價,賦值"
386,examine,"examine (vt.)檢查,細查;對…進行考試(vi.)檢查,細查,調查"
387,expand,"expand (vt.)展開;擴大,擴充,發展膨脹,擴張;張開,展開,使膨脹,使擴張;張開"
388,expensive,"expensive (a.)貴的,奢華的,費用浩大的"
389,express,"express (vt.)表達,表示,表現;壓榨,榨出直達快車,快郵,快件(a.)特快的,特殊的"
390,earnings,"earnings 所得,收入"
391,effectiveness,"effectiveness 有效,有力"
392,elevator,"elevator 電梯,升降機"
393,employee,"employee 職員,員工,受雇人員"
394,endurance,"endurance 忍耐,忍耐力,耐性"
395,ensure,"ensure (vt.)保証,擔保;保護,使安全"
396,environment,"environment 環境,外界,圍繞"
397,event,"event 事件,事情,重大事件;比賽項目 ; (BBS運作時,常需要完成某些事先設定好的工作, 此設定即稱為事件)"
398,excel,"EXCEL (vt.)勝過,優於,擅長(vi.)勝過其他"
399,expansion,"expansion 張開,伸展;擴張,膨脹;擴張的,擴張部分"
400,experience,"experience 經驗,經歷;感受,體驗(vt.)經驗,經歷;感受,體驗"
401,extend,"Extend (vt.)延長,延伸;擴大,擴充;給予,表示(vi.)伸展,擴大,延續"
402,economical,"economical (a.)節儉的,經濟的,合算的"
403,efficiency,"efficiency 效率,效能,有效"
404,embark,"embark (vi.)乘船,著手,從事,上飛機(vt.)使上船,使上飛機,使從事"
405,employer,"employer 雇傭者,雇主"
406,endure,"endure (vt.)忍受,忍耐;容忍(vi.)持久,持續;忍受,忍耐"
407,enterprise,"enterprise 企業,事業心,進取心,幹事業"
408,environmental,"environmental (a.)環境的,環境產生的"
409,evidence,"evidence U根據,証據;形跡,跡象"
410,excellent,"excellent (a.)優秀的,卓越的,極好的"
411,expect,"expect (vt.)預期,期待,盼望;期望,指望;料想,認為"
412,experienced,"experienced (a.)有經驗的經驗豐富的,老練的"
413,extension,"extension U伸長,擴大,伸展;延長,延期;C延長部分,擴大部分;C電話分機"
