vocab_id,en_vocab,jp_vocab
133,balance,差額; さがく
134,behave,振る舞う; ふるまう
135,bill,付け; つけ
136,boardroom,
137,bother,面倒
138,broadcast,放送; ほうそう
139,bank,銀行; ぎんこう
140,belongings,物; もの
141,binder,粘結剤; ねんけつざい
142,boast,自慢; じまん
143,bottom line,ボトムライン; ボトムライン
144,broaden,広める; ひろめる
145,bankrupt,潰れる; つぶれる
146,beneficial,有益; ゆうえき
147,blanket,毛布; もうふ
148,book,本; ほん
149,branch,枝; えだ
150,browser,ブラウザ; ブラウザ
151,cabin crew,客室乗務員; きゃくしつじょうむいん
152,cancel,キャンセル; キャンセル
153,career,キャリア; キャリア
154,celebrate,祝う; いわう
155,chain store,チェーンストア; チェーンストア
156,charge,係; かかり
157,circumstances,都合; つごう
158,client,取引先; とりひきさき
159,commence,始まる; はじまる
160,commute,通う; かよう
161,compensate,補う; おぎなう
162,complain,零す; こぼす
163,complimentary,優待券; ゆうたいけん
164,concern,関心; かんしん
165,confirm,結ぶ; むすぶ
166,consider,思う; おもう
167,constant,不断; ふだん
168,consumer,消費者; しょうひしゃ
169,contribute,寄せる; よせる
170,convince,説き伏せる; ときふせる
171,courier,運び屋; はこびや
172,credit,掛け; かけ
173,crucial,大事; だいじ
174,cafeteria,食堂; しょくどう
175,cancellation,解除; かいじょ
176,careless,そそっかしい; そそっかしい
177,celebration,記念; きねん
178,chair,椅子; いす
179,charity,慈善; じぜん
180,claim,主張; しゅちょう
181,climate,気候; きこう
182,commission,依頼; いらい
183,commuter,通勤者; つうきんしゃ
184,compensation,補償; ほしょう
185,complaint,文句; もんく
186,comply,応じる; おうじる
187,conclude,済ます; すます
188,confirmation,確認; かくにん
189,considerable,大した; たいした
190,constantly,絶えず; たえず
191,contain,含む; ふくむ
192,contribution,寄付; きふ
193,convincing,説諭; せつゆ
194,cover letter,送付状; そうふじょう
195,criteria,クライテリア; クライテリア
196,cruise,航行; こうこう
197,calculate,割り出す; わりだす
198,candidacy,立候補; りっこうほ
199,cash,現金; げんきん
200,cell phone,携帯; けいたい
201,chairman,議長; ぎちょう
202,cheap,安い; やすい
203,claimant,引き取り手; ひきとりて
204,closure,閉会; へいかい
205,commit,委託; いたく
206,company,交際; こうさい
207,competent,強い; つよい
208,complete,完成; かんせい
209,comprehensive,総合的; そうごうてき
210,conclusion,断定; だんてい
211,confusion,混同; こんどう
212,consignment,委託; いたく
213,construction,建設; けんせつ
214,container,容器; ようき
215,control,管理; かんり
216,corporate,社債; しゃさい
217,coverage,報道; ほうどう
218,critical,批判的; ひはんてき
219,currency,通貨; つうか
220,calculation,計算; けいさん
221,candidate,候補; こうほ
222,cashier,レジ; レジ
223,certificate,証明書; しょうめいしょ
224,chairperson,議長; ぎちょう
225,check in,連絡を入れる; れんらくをいれる
226,classification,分類; ぶんるい
227,coach,コーチ; コーチ
228,committee,委員会; いいんかい
229,comparable,比較可能; ひかくかのう
230,competition,競争; きょうそう
231,complex,複雑; ふくざつ
232,compromise,妥協; だきょう
233,concourse,コンコース; コンコース
234,connect,繋ぐ; つなぐ
235,consist,成り立つ; なりたつ
236,consult,諮る; はかる
237,continual,頻り; しきり
238,control panel,制御盤; せいぎょばん
239,corporation,企業; きぎょう
240,coworker,同僚; どうりょう
241,criticize,責める; せめる
242,current,現在; げんざい
243,calculator,電卓; でんたく
244,capacity,体積; たいせき
245,cause,原因; げんいん
246,certification,認証; にんしょう
247,characteristic,特色; とくしょく
248,check out,ＯＵＴ; ＯＵＴ
249,classify,分ける; わける
250,code,記号; きごう
251,common,共通; きょうつう
252,compare,比べる; くらべる
253,competitive,競争力; きょうそうりょく
254,complexity,複雑さ; ふくざつさ
255,compulsory,強制的; きょうせいてき
256,condition,景気; けいき
257,connection,接続; せつぞく
258,consistent,首尾一貫; しゅびいっかん
259,consultant,コンサルタント; コンサルタント
260,continuation,継続; けいぞく
261,convenient,便利; べんり
262,cost,費用; ひよう
263,crash,衝突; しょうとつ
264,crowd,密集; みっしゅう
265,custom,例; れい
266,campaign,運動; うんどう
267,capital,資本; しほん
268,cautious,慎重; しんちょう
269,chain,鎖; くさり
270,characterize,特徴付ける; とくちょうづける
271,chef,コック; コック
272,clerk,書記; しょき
273,collect,集める; あつめる
274,commonly,普通; ふつう
275,compatible,統一; とういつ
276,competitor,競争相手; きょうそうあいて
277,compliment,お世辞; おせじ
278,concede,譲る; ゆずる
279,conduct,行動; こうどう
280,consequence,結果; けっか
281,consistently,飽くまで; あくまで
282,consume,費やす; ついやす
283,continue,続ける; つづける
284,conveniently,タイミングよく; タイミングよく
285,counter,窓口; まどぐち
286,credentials,証明書; しょうめいしょ
287,crowded,賑やか; にぎやか
288,customer,顧客; こきゃく
289,daily,日々; ひび
290,decision,決断; けつだん
291,defective,不良; ふりょう
292,delight,喜び; よろこび
293,demonstrate,示す; しめす
294,deposit,預金; よきん
295,detail,詳細; しょうさい
296,develop,焼く; やく
297,director,重役; じゅうやく
298,discrepancy,相違; そうい
299,dismissive,
300,distinctive,独自; どくじ
301,donate,施す; ほどこす
302,downward,下降; かこう
303,drive,ドライブ; ドライブ
304,damage,損害; そんがい
305,decorate,飾る; かざる
306,definite,決定的; けっていてき
307,delighted,嬉しい; うれしい
308,depart,出かける; でかける
309,description,記述; きじゅつ
310,detailed,詳しい; くわしい
311,developer,開発者; かいはつしゃ
312,disagree,違う; ちがう
313,discrimination,差別; さべつ
314,display,展示; てんじ
315,distinguish,分ける; わける
316,donation,寄贈; きぞう
317,dramatic,劇的; げきてき
318,drop,滴; しずく
319,deadline,締め切り; しめきり
320,decrease,減少; げんしょう
321,definitely,絶対; ぜったい
322,deliver,届ける; とどける
323,department,局; きょく
324,designate,指名; しめい
325,detect,見つける; みつける
326,development,発展; はってん
327,disagreement,不調; ふちょう
328,discuss,話し合う; はなしあう
329,disposable,使い捨て; つかいすて
330,distribute,配る; くばる
331,double,倍; ばい
332,drastic,抜本的; ばっぽんてき
333,dull,詰らない; つまらない
334,deal,沢山; たくさん
335,dedicate,収める; おさめる
336,degree,程度; ていど
337,delivery,配達; はいたつ
338,departure,出発; しゅっぱつ
339,desperate,躍起; やっき起
340,deterioration,悪化; あっか
341,device,仕掛け; しかけ
342,disappointing,残念; ざんねん
343,discussion,話し合い; はなしあい
344,dispose,譲る; ゆずる
345,distribution,分布; ぶんぷ
346,download,ダウンロード; ダウンロード
347,drastically,ばっさり; ばっさり
348,duration,間; あいだ
349,debit,借り方; かりかた
350,deduct,差し引く; さしひく
351,delay,遅れ; おくれ
352,demand,要求; ようきゅう
353,depend on,頼る; たよる
354,dessert,デザート; デザート
355,determine,定める; さだめる
356,diagnose,見立てる; みたてる
357,disconnect,切る; きる
358,dish,皿; さら
359,dispute,論争; ろんそう
360,dividend,配当; はいとう
361,downsize,
362,draw,引き分け; ひきわけ
363,duty-free,無税; むぜい
364,debt,負債; ふさい
365,defect,欠陥; けっかん
366,delete,抹消; まっしょう
367,demanding,催促; さいそく
368,dependence,依存; いぞん
369,destination,行き先; いきさき
370,determined,断固; だんこ
371,differential,示差; しさ
372,discount,割引; わりびき
373,dismiss,断る; ことわる
374,disruption,破壊; はかい
375,document,文書; ぶんしょ
376,downturn,業績悪化; ぎょうせきあっか
377,drawer,引き出し; ひきだし
378,earn,稼ぐ; かせぐ
379,effectively,事実上; じじつじょう
380,electrical,電気式; でんきしき
381,employ,雇う; やとう
382,encourage,励ます; はげます
383,enroll,入る; はいる
384,entrée,アントレ; アントレ
385,evaluate,評する; ひょうする
386,examine,診る; みる
387,expand,膨らむ; ふくらむ
388,expensive,高価; こうか
389,express,速達; そくたつ
390,earnings,収益; しゅうえき
391,effectiveness,効果; こうか
392,elevator,エレベーター; エレベーター
393,employee,従業員; じゅうぎょういん
394,endurance,我慢; がまん
395,ensure,確保; かくほ
396,environment,環境; かんきょう
397,event,事件; じけん
398,excel,傑出; けっしゅつ
399,expansion,拡大; かくだい
400,experience,体験; たいけん
401,extend,申し上げる; もうしあげる
402,economical,割安; わりやす
403,efficiency,能率; のうりつ
404,embark,乗る; のる
405,employer,雇い主; やといぬし
406,endure,凌ぐ; しのぐ
407,enterprise,企業; きぎょう
408,environmental,環境問題; かんきょうもんだい
409,evidence,証拠; しょうこ
410,excellent,良い; よい
411,expect,望む; のぞむ
412,experienced,経験豊富; けいけんほうふ
413,extension,延長; えんちょう
414,economize,省く; はぶく
415,efficient,効率的; こうりつてき
416,emergency,非常; ひじょう
417,employment,雇用; こよう
418,engineer,技師; ぎし
419,enthusiastic,熱心; ねっしん
420,equivalent,イコール; イコール
421,evolve,進化を遂げる; しんかをとげる
422,excursion,遠足; えんそく
423,expectation,期待; きたい
424,experiment,実験; じっけん
425,external,対外; たいがい
426,economy,経済; けいざい
427,efficiently,手際よく; てぎわよく
428,emphasize,強める; つよめる
429,enable,イネーブル; イネーブル
430,engineering,工学; こうがく
431,enthusiastically,勢いよく; いきおいよく
432,essential,肝心; かんじん
433,exact,精密; せいみつ
434,executive,重役; じゅうやく
435,expenditure,支出; ししゅつ
436,exploration,探検; たんけん
437,effective,有効; ゆうこう
438,elderly,老人; ろうじん
428,emphasize,強める; つよめる
440,enclose,取り巻く; とりまく
441,enhance,高める; たかめる
442,entitlement,給付金; きゅうふきん
443,estimate,見積もり; みつもり
444,examination,試験; しけん
445,exhibit,出品; しゅっぴん
446,expense,費用; ひよう
447,explore,探る; さぐる
448,facilities,設備; せつび
449,fair,博覧会; はくらんかい
450,fax,ＦＡＸ; ＦＡＸ
451,file,ヒレ; ヒレ
452,flexible,柔軟; じゅうなん
453,focused,重点的; じゅうてんてき
454,forget,忘れる; わすれる
455,frankly,正直; しょうじき
456,furniture,家具; かぐ
457,facility,機能; きのう
458,famed,謳われる; うたわれる
459,feature,特徴; とくちょう
460,fill out,書き込む; かきこむ
461,flight,便; びん
462,fold,畳む; たたむ
463,forgetful,忘れっぽい; わすれっぽい
464,fuel,燃料; ねんりょう
465,further,一段; いちだん
466,factor,因子; いんし
467,fare,運賃; うんちん
468,fee,料金; りょうきん
469,finance,金融; きんゆう
470,flight attendant,スチュワーデス; スチュワーデス
471,folder,フォルダ; フォルダ
472,form,形; かたち
473,fulfill,満たす; みたす
474,factory,工場; こうじょう
475,fault,故障; こしょう
476,feedback,帰還; きかん
477,financial,金融; きんゆう
478,fluctuate,動く; うごく
479,force,力; ちから
480,forward,前方; ぜんぽう
481,function,機能; きのう
482,fail,躓く; つまずく
483,faulty,不完全; ふかんぜん
484,field,分野; ぶんや
485,firm,強硬; きょうこう
486,fluctuation,変動; へんどう
487,forecast,予報; よほう
488,founded,国立; こくりつ
489,functional,機能的; きのうてき
490,failure,失敗; しっぱい
491,favor,恩; おん
492,figure,姿; すがた
493,fix,治す; なおす
494,focus,焦点; しょうてん
495,foreign,海外; かいがい
496,frank,率直; そっちょく
497,fundraising,資金繰り; しきんぐり
498,gesture,身振り; みぶり
499,growth,成長; せいちょう
500,goal,目標; もくひょう
501,guarantee,保証; ほしょう
502,goods,品物; しなもの
503,guidelines,指導方針; しどうほうしん
504,gradually,段々; だんだん
505,grievance,不平; ふへい
506,grill,焼肉; やきにく
507,haggle,値切る; ねぎる
508,head office,本部; ほんぶ
509,highly,中々; なかなか
510,handle,取っ手; とって
511,headquarters,本部; ほんぶ
512,hike,引け; ひけ
513,handy,手ごろ; てごろ
514,hesitate,躊躇う; ためらう
515,hire,鰭; ひれ
516,harbor,港; みなと
517,hesitation,迷い; まよい
518,hold,持ち; もち
519,harmful,有害; ゆうがい
520,hide,皮; かわ
521,homepage,ホメパゲ; ホメパゲ
522,hazardous,危ない; あぶない
523,highlight,強調; きょうちょう
524,host,司会; しかい
525,identification,共感; きょうかん
526,impatient,短い; みじかい
527,improvement,改良; かいりょう
528,inconvenience,不便; ふべん
529,inexperienced,不慣れ; ふなれ
530,information,情報; じょうほう
531,insure,確保; かくほ
532,international,国際; こくさい
533,invention,発明; はつめい
534,invite,招く; まねく
535,itinerary,道順; みちじゅん
536,identify,特定; とくてい
537,implement,道具; どうぐ
538,incentive,動機; どうき
539,increase,増加; ぞうか
540,infer,計る; はかる
541,input,入力; にゅうりょく
542,intend,志す; こころざす
543,internship,インターンシップ; インターンシップ
544,inventory,在庫; ざいこ
545,invoice,送り状; おくりじょう
546,imaginative,創意工夫; そういくふう
547,imply,含む; ふくむ
548,inclined,気が進まない; きがすすまない
549,indicate,告げる; つげる
550,inflate,膨らます; ふくらます
551,inquiry,質問; しつもん
552,intention,積もり; つもり
553,interrupt,遮る; さえぎる
554,invest,投じる; とうじる
555,isolate,隔てる; へだてる
556,immediate,直接; ちょくせつ
557,impression,印象; いんしょう
558,include,含める; ふくめる
559,indication,気配; けはい
560,inflation,インフレ; インフレ
561,install,入れる; いれる
562,intently,只管; ひたすら管
563,interview,会見; かいけん
564,investigate,取り調べる; とりしらべる
565,issue,発行; はっこう
566,immediately,直ぐ; すぐ
567,improper,不可; ふか
568,inclusion,包括; ほうかつ
569,individual,個人; こじん
570,influence,影響; えいきょう
571,installation,装置; そうち
572,intern,拘禁; こうきん
573,invaluable,値千金; あたいせんきん
574,investigation,調査; ちょうさ
575,item,項目; こうもく
576,impact,衝突; しょうとつ
577,improve,磨く; みがく
578,income,収入; しゅうにゅう
579,individually,一人一人; ひとりひとり
580,influential,有力; ゆうりょく
581,insurance,保険; ほけん
582,internal,国内; こくない
583,invent,生み出す; うみだす
584,investment,投資; とうし
585,itemize,並べる; ならべる
586,jealous,羨ましい; うらやましい
587,journal,雑誌; ざっし
588,jeopardize,脅かす; おびやかす
589,journey,行程; こうてい
590,jeopardy,危殆; きたい
591,judge,判事; はんじ
592,jobless,無職; むしょく
593,justice,正義; せいぎ
594,join,女陰; じょいん
595,justification,弁解; べんかい
596,joint,節; ふし
597,justify,行揃え; ぎょうそろえ
598,keen,痛切; つうせつ
599,keep,飼う; かう
600,knock,ノック; ノック
601,know,知る; しる
602,knowledge,知識; ちしき
603,knowledgeable,詳しい; くわしい
604,label,荷札; にふだ
605,law,法律; ほうりつ
606,lend,貸す; かす
607,limousine,リムジン; リムジン
608,locate,見つける; みつける
609,luxury,贅沢; ぜいたく
610,labor,勤労; きんろう
611,lay off,止す; よす
612,liability,責任; せきにん
613,list,リスト; リスト
614,log on,鰹木; かつおぎ
615,lack,欠如; けつじょ
616,leak,漏る; もる
617,license,免許; めんきょ
618,livestock,家畜; かちく
619,log out,落ちる; おちる
620,landlord,大家; おおや
621,lean,偏る; かたよる
622,licensing,ライセンシング; ライセンシング
623,loan,借入金; かりいれきん
624,loyal,忠実; ちゅうじつ
625,laptop,ノートＰＣ; ノートＰＣ
626,lease,賃貸; ちんたい
627,lie,嘘; うそ
628,lobby,ロビー; ロビー
629,luggage,荷物; にもつ
630,launch,発売; はつばい
631,leisure,余暇; よか
632,limited,狭い; せまい
633,local,現地; げんち
634,luxurious,豪華; ごうか
635,maintain,確保; かくほ
636,manufacture,製造; せいぞう
637,medication,投薬; とうやく
638,mention,記載; きさい
639,million,１００万; ひゃくまん００万
640,mortgage,抵当; ていとう
641,maintenance,保守; ほしゅ
642,manufacturing,加工; かこう
643,medicine,薬; くすり
644,merchandise,商品; しょうひん
645,mishear,聞き外す; ききはずす
646,motivate,モチベート; モチベート
647,major,少佐; しょうさ
648,marketing,販売; はんばい
649,meeting,会議; かいぎ
650,mere,単なる; たんなる
651,misleading,誤導; ごどう
652,motivation,気合; きあい
653,manage,治める; おさめる
654,mechanic,職人; しょくにん
655,membership,会員; かいいん
656,merge,合流; ごうりゅう
657,misrepresent,誤魔化す; 誤
658,managerial,管理職; かんりしょく
659,medic,衛生兵; えいせいへい
660,memo,メモ; メモ
661,merger,併合; へいごう
662,monitor,モニター; モニター
663,mandatory,義務的; ぎむてき
664,medical,医療; いりょう
665,memorandum,メモ; メモ
666,mileage,走行距離; そうこうきょり
667,monument,モニュメント; モニュメント
668,napkin,ナプキン; ナプキン
669,nomination,任命; にんめい
670,narrow,狭い; せまい
671,notice,注目; ちゅうもく
672,narrowing,狭窄; きょうさく
673,notify,知らせる; しらせる
674,neighborhood,付近; ふきん
675,network,ネットワーク; ネットワーク
676,nominate,指名; しめい
677,objection,異議; いぎ
678,occupation,職業; しょくぎょう
679,operation,操作; そうさ
680,organize,設ける; もうける
681,overall,全体的; ぜんたいてき
682,objective,客観的; きゃっかんてき観的
683,occur,起こる; おこる
684,opinion,オピニオン; オピニオン
685,organized,組織的; そしきてき
686,overdraft,貸越; かしこし
687,obligation,強制; きょうせい
688,officer,士官; しかん
689,opportunity,契機; けいき
690,original,独自; どくじ
691,overseas,海外; かいがい
692,oblige,下さる; くださる
693,official,公式; こうしき
694,optimistic,呑気
695,outline,大筋; おおすじ
696,overtime,残業; ざんぎょう
697,obtain,掴む; つかむ
698,onward,進行; しんこう
699,order,命令; めいれい
700,outlook,展望; てんぼう
701,overview,概要; がいよう
702,obviously,言うまでもなく; いうまでもなく
703,operate,取り扱う; とりあつかう
704,organization,組織; そしき
705,outstanding,抜群; ばつぐん
706,owe,負う; おう
707,package,小包; こづつみ
708,passenger,旅客; りょかく
709,performance,舞台; ぶたい
710,personnel,職員; しょくいん
711,plow,耕す; たがやす
712,polite,丁寧; ていねい
713,popularity,人気; にんき
714,practical,実際; じっさい
715,premises,構内; こうない
716,prevention,予防; よぼう
717,private,民間; みんかん
718,professional,プロ; プロ
719,progressive,進歩的; しんぽてき
720,promptly,いち早く; いちはやく
721,publicize,
722,package tour,パッケージツアー; パッケージツアー
723,patent,特許; とっきょ許
724,permanent,恒久的; こうきゅうてき
725,persuade,言い聞かせる; いいきかせる
726,plug in,差し込む; さしこむ
727,politician,政治家; せいじか
728,position,立場; たちば
729,practically,殆ど; ほとんど
730,prepare,設ける; もうける
731,price,価格; かかく
732,probability,確率; かくりつ
733,profile,横顔; よこがお
734,prohibit,禁じる; きんじる
735,properly,良く; よく
736,purchase,購入; こうにゅう
737,parcel,小包; こづつみ
738,patented,特許品; とっきょひん許品
739,permission,許可; きょか
740,pessimistic,悲観的; ひかんてき
741,plumber,配管工; はいかんこう
742,politics,政治; せいじ
743,postpone,先送り; さきおくり
744,predict,占う; うらなう
745,present,贈り物; おくりもの
746,priceless,尊い; とうとい
747,probably,恐らく; おそらく
748,profit,利益; りえき
749,project,事業; じぎょう
750,property,財産; ざいさん
751,purpose,目的; もくてき
752,parking lot,駐車場; ちゅうしゃじょう
753,patience,根気; こんき
754,permit,免許; めんきょ
755,plant,植物; しょくぶつ
756,point,先; さき
757,poll,投票; とうひょう
758,postponement,延期; えんき
759,predictable,ワンパターン; ワンパターン
760,presentation,提示; ていじ
761,principal,校長; こうちょう
762,probationary,式叉摩那; しきしゃまな
763,profitability,収益性; しゅうえきせい
764,promote,売り込む; うりこむ
765,protect,守る; まもる
766,pursue,追い求める; おいもとめる
767,participant,参加者; さんかしゃ
768,payment,支払い; しはらい
769,personal,個人; こじん
770,platform,プラットホーム; プラットホーム
771,pointless,無駄
772,pollute,汚す; よごす
773,potential,可能; かのう
774,prefer,好む; このむ
775,press,押す; おす
776,principle,原理; げんり
777,process,過程; かてい
778,profitable,有益; ゆうえき
779,promotion,振興; しんこう
780,protection,保護; ほご
781,particularly,特に; とくに
782,perform,切る; きる
783,personalized,顔が見える; かおがみえる
784,pleasant,快適; かいてき
785,policy,方針; ほうしん
786,popular,庶民的; しょみんてき
787,power,動力; どうりょく
788,preference,優先; ゆうせん
789,prevent,妨げる; さまたげる
790,priority,優先権; ゆうせんけん
791,profession,職業; しょくぎょう
792,progress,進歩; しんぽ
793,prompt,即時; そくじ
794,publicity,宣伝; せんでん
795,qualification,条件; じょうけん
796,qualified,適任; てきにん
797,qualify,資格を有する; しかくをゆうする
798,questionnaire,アンケート; アンケート
799,quotation,引用; いんよう
800,quote,見積り価格; みつもりかかく
801,raise,来世; らいせ
802,reach,着く; つく
803,receive,受ける; うける
804,recommend,勧める; すすめる
805,redundant,余剰; よじょう
806,regarding,に対する; にたいする
807,regular,レギュラー; レギュラー
808,relaxation,休養; きゅうよう
809,reminder,備忘; びぼう
810,rent,家賃; やちん
811,report,報告; ほうこく
812,reschedule,繰り延べる; くりのべる
813,resist,耐える; たえる
814,responsibility,責任; せきにん
815,retire,引退; いんたい
816,rival,敵; てき
817,range,距離; きょり
818,realize,知る; しる
819,recent,新しい; あたらしい
820,recommendation,推薦; すいせん
821,refrigerator,冷蔵庫; れいぞうこ
822,regardless,兎に角; とにかく
823,regularly,きちんと; きちんと
824,release,解放; かいほう
825,remittance,送金; そうきん
826,repair,修理; しゅうり
827,represent,表す; あらわす
828,rescue,救出; きゅうしゅつ
829,resolve,決める; きめる
830,responsible,主体的; しゅたいてき
831,retirement,引退; いんたい
832,roadside,道端; みちばた
833,rare,稀; まれ
834,rearrange,組み替える; くみかえる
835,reception,享受; きょうじゅ
836,recruit,リクルート; リクルート
837,refund,返済; へんさい
838,regional,地域的; ちいきてき
839,regulate,取り締まる; とりしまる
840,relevant,適切; てきせつ
841,remove,除く; のぞく
842,repayment,返済; へんさい
843,representative,代表; だいひょう
844,resemble,似る; にる
845,respect,尊敬; そんけい
846,restore,返す; かえす
847,review,復習; ふくしゅう
848,roughly,略; ほぼ
849,rate,ラテ; ラテ
850,reasonable,当たり前; あたりまえ
851,receptive,虚心; きょしん
852,recruitment,募集; ぼしゅう
853,refundable,エコポイント; エコポイント
854,register,名簿; めいぼ
855,rehearse,復習う; さら習う
856,remain,残る; のこる
857,remuneration,報酬; ほうしゅう
858,repetitive,ワンパターン; ワンパターン
859,request,依頼; いらい
860,reservation,予約; よやく
861,respectable,碌な; 碌
862,restructure,データベース再編成; データベースさいへんせい
863,revise,変える; かえる
864,route,道順; みちじゅん
865,rational,合理的; ごうりてき
866,reasonably,まあ; まあ
867,recipe,製法; せいほう
868,reduce,下げる; さげる
869,refusal,拒否; きょひ
870,registration,登録; とうろく
871,reject,断る; ことわる
872,remarkable,目覚ましい; めざましい
873,renovate,仕立て直す; したてなおす
874,replace,換える; かえる
875,require,要する; ようする
876,reserve,遠慮; えんりょ
877,respectful,手厚い; てあつい
878,résumé,レジュメ; レジュメ
879,revised,改訂版; かいていばん
880,runway,滑走路; かっそうろ
881,raw materials,原料; げんりょう
882,receipt,受取り; うけとり
883,recognize,認める; みとめる
884,reduction,縮小; しゅくしょう
885,refuse,断る; ことわる
886,regret,後悔; こうかい
887,relax,リラックス; リラックス
888,remind,念を押す; ねんをおす
889,renovation,改造; かいぞう
890,replacement,代わり; かわり
891,requirement,条件; じょうけん
892,resign,辞任; じにん
893,respond,応じる; おうじる
894,retail,小売; こうり
895,right away,即座に; そくざに
896,salary,給料; きゅうりょう
897,satisfy,満たす; みたす
898,search engine,検索エンジン; けんさくエンジン
899,selective,選択的; せんたくてき
900,shape,格好; かっこう好
901,shortage,欠乏; けつぼう
902,slump,暴落; ぼうらく
903,specialize,専門誌; せんもんし
904,stadium,スタジアム; スタジアム
905,steep,急峻; きゅうしゅん
906,studio,スタジオ; スタジオ
907,suggestion,暗示; あんじ
908,supplier,業者; ぎょうしゃ
909,switchboard,交換台; こうかんだい
910,sale,発売; はつばい
911,save,助ける; たすける
912,secluded,奥まって; おくまって
913,seminar,セミナー; セミナー
914,sharp,鋭い; するどい
915,shuttle,下糸入れ; したいといれ
916,software,ソフトウェア; ソフトウェア
917,specialty,名物; めいぶつ
918,staff,部員; ぶいん
919,stock,在庫; ざいこ
920,submit,提出; ていしゅつ
921,suit,スーツ; スーツ
922,supply,供給; きょうきゅう
923,systematic,規則的; きそくてき
924,salvage,引き上げ; ひきあげ
925,scene,光景; こうけい
926,secretarial,秘書課; ひしょか
927,senior,先輩; せんぱい
928,shift,転向; てんこう
929,sightseeing,観光; かんこう
930,solar,太陽; たいよう
931,specification,指定; してい
